"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Reading an article's comments is public and returns the full list","99","Comments _ Get _ Public","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Get_Public"
"SPEC: ?favorited must filter to a user's favorites. Documents bug #1 — runs RED.","154","Articles _ List _ Filter By Favorited _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_List_FilterByFavorited_SPEC"
"Unfavoriting drops the count back to 0","154","Favorites _ Unfavorite","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestFavorites_Unfavorite"
"Reading a non-existent slug returns 404","4","Articles _ Get By Slug _ Not Found","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_GetBySlug_NotFound"
"A non-numeric comment id is rejected with 400","80","Comments _ Delete _ Non Numeric ID","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Delete_NonNumericID"
"GET /api/user without a token is rejected by the JWT middleware (400)","3","Auth _ Current User _ No Token","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_CurrentUser_NoToken"
"Register → login → read current user → update bio → bio persists and credentials still work","230","Flow _ Account","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestFlow_Account"
"Author publishes → reader comments → author renames → author deletes; the article's whole life-cycle","169","Flow _ Authoring","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestFlow_Authoring"
"Logging in with a wrong password is rejected with 403","175","Auth _ Login _ Wrong Password","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Login_WrongPassword"
"SPEC: an invalid email format must be rejected (422). Documents bug #4 — runs RED.","80","Auth _ Register _ Invalid Email _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_InvalidEmail_SPEC"
"An authenticated user can comment on an article (201)","115","Comments _ Add _ By Authenticated User","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Add_ByAuthenticatedUser"
"The author can update their article; the slug is regenerated","100","Articles _ Update _ By Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Update_ByAuthor"
"A non-author cannot delete someone else's comment (401)","165","Comments _ Delete _ By Non Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Delete_ByNonAuthor"
"SPEC: the feed's articlesCount must match the feed. Documents bug #5 — runs RED.","156","Flow _ Feed _ Articles Count Mismatch _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestFlow_Feed_ArticlesCountMismatch_SPEC"
"GET /api/user with a valid token returns 200 and the current user","86","Auth _ Current User _ With Token","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_CurrentUser_WithToken"
"Commenting without a token is rejected by the JWT middleware (400)","112","Comments _ Add _ Unauthenticated","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Add_Unauthenticated"
"A non-author cannot update someone else's article (404) and the article is unchanged","225","Articles _ Update _ By Non Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Update_ByNonAuthor"
"SPEC: a reader who favorited an article must see favorited=true on read. Documents bug #3 — runs RED.","195","Favorites _ Favorited Flag On Read _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestFavorites_FavoritedFlagOnRead_SPEC"
"SPEC: ?author must filter by author. Documents bug #1 — runs RED.","156","Articles _ List _ Filter By Author _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_List_FilterByAuthor_SPEC"
"Creating an article without a token is rejected by the JWT middleware","9","Articles _ Create _ Unauthenticated","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Create_Unauthenticated"
"Deleting a non-existent comment id returns 404","79","Comments _ Delete _ Missing","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Delete_Missing"
"Listing articles returns them all, newest first","81","Articles _ List _ Returns All Newest First","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_List_ReturnsAllNewestFirst"
"SPEC: ?tag must filter by tag. Documents bug #1 — runs RED.","82","Articles _ List _ Filter By Tag _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_List_FilterByTag_SPEC"
"SPEC: limit+offset must page through results. Documents bug #1 — runs RED.","79","Articles _ List _ Pagination _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_List_Pagination_SPEC"
"Missing password fails validation with 422","3","Auth _ Register _ Missing Password","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_MissingPassword"
"Missing username fails validation with 422 (username's validate tag is well-formed)","3","Auth _ Register _ Missing Username","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_MissingUsername"
