"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Favoriting without a token is rejected by the JWT middleware (400)","103","Favorites _ Favorite _ Unauthenticated","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestFavorites_Favorite_Unauthenticated"
"Missing password fails validation with 422","4","Auth _ Register _ Missing Password","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_MissingPassword"
"GET /api/user without a token is rejected by the JWT middleware (400)","3","Auth _ Current User _ No Token","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_CurrentUser_NoToken"
"The author can update their article; the slug is regenerated","93","Articles _ Update _ By Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Update_ByAuthor"
"SPEC: an invalid email format must be rejected (422). Documents bug #5 — runs RED.","122","Auth _ Register _ Invalid Email _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_InvalidEmail_SPEC"
"Missing username fails validation with 422 (username's validate tag is well-formed)","3","Auth _ Register _ Missing Username","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_MissingUsername"
"Logging in with a wrong password is rejected with 403","190","Auth _ Login _ Wrong Password","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Login_WrongPassword"
"Logging in as an unknown user is rejected with 403","3","Auth _ Login _ Unknown User","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Login_UnknownUser"
"The author can delete their article; it is then unreadable","86","Articles _ Delete _ By Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Delete_ByAuthor"
"SPEC: a reader who favorited an article must see favorited=true on read. Documents bug #3 — runs RED.","221","Favorites _ Favorited Flag On Read _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestFavorites_FavoritedFlagOnRead_SPEC"
"Reading an article by slug is public and returns 200","128","Articles _ Get By Slug _ Public","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_GetBySlug_Public"
"Reading a non-existent slug returns 404","5","Articles _ Get By Slug _ Not Found","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_GetBySlug_NotFound"
"SPEC: ?author must filter by author. Documents bug #1 — runs RED.","340","Articles _ List _ Filter By Author _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_List_FilterByAuthor_SPEC"
"SPEC: a datastore error must yield 500, not crash the process. Documents bug #2 — runs RED.","115","Comments _ Delete _ Crashes On DB Error _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Delete_CrashesOnDBError_SPEC"
"The comment's author can delete it; it then disappears from the list","93","Comments _ Delete _ By Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Delete_ByAuthor"
"SPEC: ?tag must filter by tag. Documents bug #1 — runs RED.","133","Articles _ List _ Filter By Tag _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_List_FilterByTag_SPEC"
"Favorites from distinct users accumulate in favoritesCount","276","Favorites _ Count Accumulates Across Users","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestFavorites_CountAccumulatesAcrossUsers"
"Reading an article's comments is public and returns the full list","96","Comments _ Get _ Public","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Get_Public"
"Deleting a non-existent article returns 404","86","Articles _ Delete _ Non Existent","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Delete_NonExistent"
"A non-author cannot update someone else's article (404) and the article is unchanged","226","Articles _ Update _ By Non Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestArticles_Update_ByNonAuthor"
"SPEC: registering without an email must be rejected (422). Documents bug #5 — runs RED.","85","Auth _ Register _ Missing Email _ SPEC","","2026-06-14","failed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_MissingEmail_SPEC"
"A user can favorite an article; the write response reflects favorited=true and count=1","203","Favorites _ Favorite _ By User","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestFavorites_Favorite_ByUser"
"GET /api/user with a valid token returns 200 and the current user","88","Auth _ Current User _ With Token","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_CurrentUser_WithToken"
"A non-author cannot delete someone else's comment (401)","234","Comments _ Delete _ By Non Author","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Delete_ByNonAuthor"
"Registering a duplicate email is rejected with 422","218","Auth _ Register _ Duplicate Email","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestAuth_Register_DuplicateEmail"
"A non-numeric comment id is rejected with 400","103","Comments _ Delete _ Non Numeric ID","","2026-06-14","passed","2026-06-14","","","home.runner.work.golang-fiber-realworld-example-app-testing.golang-fiber-realworld-example-app-testing.test.main_test","TestComments_Delete_NonNumericID"
